Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names
AF468624,,oreganus,36.3136,-121.3542,1,"gi|33318426|gb|AF468624.1| Junco hyemalis ATPase subunit 8 and ATPase subunit 6 genes, complete cds; and cytochrome oxidase subunit III gene, partial cds; mitochondrial genes for mitochondrial products"
KX460914,04N5027,oreganus,53.45359,-130.149869,12,"gi|1109546436|gb|KX460914.1| Junco hyemalis isolate 04N5027 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460915,04N5029,oreganus,53.45359,-130.149869,13,"gi|1109546439|gb|KX460915.1| Junco hyemalis isolate 04N5029 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460916,04N5030,oreganus,53.45359,-130.149869,14,"gi|1109546442|gb|KX460916.1| Junco hyemalis isolate 04N5030 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460917,04N5031,oreganus,53.45359,-130.149869,15,"gi|1109546445|gb|KX460917.1| Junco hyemalis isolate 04N5031 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460918,04N5035,oreganus,53.45359,-130.149869,16,"gi|1109546448|gb|KX460918.1| Junco hyemalis isolate 04N5035 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460919,04N5043,oreganus,53.993429,-130.487521,17,"gi|1109546451|gb|KX460919.1| Junco hyemalis isolate 04N5043 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460920,04N5044,oreganus,53.993429,-130.487521,18,"gi|1109546454|gb|KX460920.1| Junco hyemalis isolate 04N5044 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460921,04N5045,oreganus,53.993429,-130.487521,19,"gi|1109546457|gb|KX460921.1| Junco hyemalis isolate 04N5045 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460922,04N5050,oreganus,53.993429,-130.487521,20,"gi|1109546460|gb|KX460922.1| Junco hyemalis isolate 04N5050 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460923,04N5051,oreganus,53.993429,-130.487521,21,"gi|1109546463|gb|KX460923.1| Junco hyemalis isolate 04N5051 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460924,04N5052,oreganus,53.993429,-130.487521,22,"gi|1109546466|gb|KX460924.1| Junco hyemalis isolate 04N5052 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460925,04N5054,oreganus,53.993429,-130.487521,23,"gi|1109546469|gb|KX460925.1| Junco hyemalis isolate 04N5054 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460926,04N5055,oreganus,53.993429,-130.487521,24,"gi|1109546472|gb|KX460926.1| Junco hyemalis isolate 04N5055 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460927,04N5056,oreganus,53.993429,-130.487521,25,"gi|1109546475|gb|KX460927.1| Junco hyemalis isolate 04N5056 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460928,05N0500,mearnsi,43.981768,-109.514929,26,"gi|1109546478|gb|KX460928.1| Junco hyemalis isolate 05N0500 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460929,05N0501,mearnsi,43.981768,-109.514929,27,"gi|1109546481|gb|KX460929.1| Junco hyemalis isolate 05N0501 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460930,05N0502,mearnsi,43.981768,-109.514929,28,"gi|1109546484|gb|KX460930.1| Junco hyemalis isolate 05N0502 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460931,05N0503,mearnsi,43.981768,-109.514929,29,"gi|1109546487|gb|KX460931.1| Junco hyemalis isolate 05N0503 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460932,05N0504,mearnsi,43.981768,-109.514929,30,"gi|1109546490|gb|KX460932.1| Junco hyemalis isolate 05N0504 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460933,05N0506,mearnsi,43.981768,-109.514929,31,"gi|1109546493|gb|KX460933.1| Junco hyemalis isolate 05N0506 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460934,05N0507,mearnsi,43.981768,-109.514929,32,"gi|1109546496|gb|KX460934.1| Junco hyemalis isolate 05N0507 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460935,05N0509,mearnsi,43.981768,-109.514929,33,"gi|1109546499|gb|KX460935.1| Junco hyemalis isolate 05N0509 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460936,05N0522,aikeni,44.48614,-104.45108,34,"gi|1109546502|gb|KX460936.1| Junco hyemalis isolate 05N0522 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460937,05N0523,aikeni,44.48614,-104.45108,35,"gi|1109546505|gb|KX460937.1| Junco hyemalis isolate 05N0523 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460938,05N0524,aikeni,44.59476,-104.41141,36,"gi|1109546508|gb|KX460938.1| Junco hyemalis isolate 05N0524 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460939,05N0525,aikeni,44.59476,-104.41141,37,"gi|1109546511|gb|KX460939.1| Junco hyemalis isolate 05N0525 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460940,05N0526,aikeni,44.59476,-104.41141,38,"gi|1109546514|gb|KX460940.1| Junco hyemalis isolate 05N0526 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460941,05N0527,aikeni,44.50185,-104.45238,39,"gi|1109546517|gb|KX460941.1| Junco hyemalis isolate 05N0527 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460942,05N0528,aikeni,44.50185,-104.45238,40,"gi|1109546520|gb|KX460942.1| Junco hyemalis isolate 05N0528 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460943,05N0529,aikeni,44.50185,-104.45238,41,"gi|1109546523|gb|KX460943.1| Junco hyemalis isolate 05N0529 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460944,05N0538,caniceps,40.8046,-110.87705,42,"gi|1109546526|gb|KX460944.1| Junco hyemalis isolate 05N0538 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460945,05N0539,caniceps,40.8046,-110.87705,43,"gi|1109546529|gb|KX460945.1| Junco hyemalis isolate 05N0539 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460946,05N0541,caniceps,40.8046,-110.87705,44,"gi|1109546532|gb|KX460946.1| Junco hyemalis isolate 05N0541 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460947,05N0542,caniceps,40.8046,-110.87705,45,"gi|1109546535|gb|KX460947.1| Junco hyemalis isolate 05N0542 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460948,05N0543,caniceps,40.8046,-110.87705,46,"gi|1109546538|gb|KX460948.1| Junco hyemalis isolate 05N0543 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460949,05N0544,caniceps,40.8046,-110.87705,47,"gi|1109546541|gb|KX460949.1| Junco hyemalis isolate 05N0544 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460950,05N0545,caniceps,40.8046,-110.87705,48,"gi|1109546544|gb|KX460950.1| Junco hyemalis isolate 05N0545 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460951,05N0546,caniceps,40.8046,-110.87705,49,"gi|1109546547|gb|KX460951.1| Junco hyemalis isolate 05N0546 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460952,05N0547,caniceps,40.8046,-110.87705,50,"gi|1109546550|gb|KX460952.1| Junco hyemalis isolate 05N0547 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460953,05N0571,dorsalis,34.01638,-109.6199,51,"gi|1109546553|gb|KX460953.1| Junco hyemalis isolate 05N0571 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460954,05N0572,dorsalis,34.01638,-109.6199,52,"gi|1109546556|gb|KX460954.1| Junco hyemalis isolate 05N0572 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460955,05N0573,dorsalis,34.01638,-109.6199,53,"gi|1109546559|gb|KX460955.1| Junco hyemalis isolate 05N0573 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460956,05N0574,dorsalis,34.01638,-109.6199,54,"gi|1109546562|gb|KX460956.1| Junco hyemalis isolate 05N0574 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460957,05N0575,dorsalis,34.01638,-109.6199,55,"gi|1109546565|gb|KX460957.1| Junco hyemalis isolate 05N0575 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460958,05N0582,dorsalis,33.92689,-109.45343,56,"gi|1109546568|gb|KX460958.1| Junco hyemalis isolate 05N0582 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460959,05N0583,dorsalis,33.92689,-109.45343,57,"gi|1109546571|gb|KX460959.1| Junco hyemalis isolate 05N0583 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460960,05N0584,dorsalis,33.92689,-109.45343,58,"gi|1109546574|gb|KX460960.1| Junco hyemalis isolate 05N0584 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460961,05N0585,dorsalis,33.92689,-109.45343,59,"gi|1109546577|gb|KX460961.1| Junco hyemalis isolate 05N0585 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460962,06N25589,dorsalis,43.89835,-114.90118,60,"gi|1109546580|gb|KX460962.1| Junco hyemalis isolate 06N25589 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460963,06N26275,oreganus,43.89835,-114.90118,61,"gi|1109546583|gb|KX460963.1| Junco hyemalis isolate 06N26275 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460964,06N26278,oreganus,43.89835,-114.90118,62,"gi|1109546586|gb|KX460964.1| Junco hyemalis isolate 06N26278 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460965,06N26281,oreganus,43.89835,-114.90118,63,"gi|1109546589|gb|KX460965.1| Junco hyemalis isolate 06N26281 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460966,06N26283,oreganus,43.89835,-114.90118,64,"gi|1109546592|gb|KX460966.1| Junco hyemalis isolate 06N26283 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460967,06N26284,oreganus,43.89835,-114.90118,65,"gi|1109546595|gb|KX460967.1| Junco hyemalis isolate 06N26284 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460968,06N26285,oreganus,43.89835,-114.90118,66,"gi|1109546598|gb|KX460968.1| Junco hyemalis isolate 06N26285 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460969,06N26286,oreganus,43.89835,-114.90118,67,"gi|1109546601|gb|KX460969.1| Junco hyemalis isolate 06N26286 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460970,06N26287,oreganus,43.89835,-114.90118,68,"gi|1109546604|gb|KX460970.1| Junco hyemalis isolate 06N26287 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460971,06N26290,oreganus,43.89835,-114.90118,69,"gi|1109546607|gb|KX460971.1| Junco hyemalis isolate 06N26290 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460972,06N26291,oreganus,43.89835,-114.90118,70,"gi|1109546610|gb|KX460972.1| Junco hyemalis isolate 06N26291 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460973,06N26292,oreganus,43.89835,-114.90118,71,"gi|1109546613|gb|KX460973.1| Junco hyemalis isolate 06N26292 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX460974,06N26293,oreganus,43.89835,-114.90118,72,"gi|1109546616|gb|KX460974.1| Junco hyemalis isolate 06N26293 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX461029,SCJU_3824,hyemalis,37.375136,-80.522747,73,"gi|1109546781|gb|KX461029.1| Junco hyemalis isolate SCJU-3824 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX461030,SCJU_3826,hyemalis,37.375136,-80.522747,74,"gi|1109546784|gb|KX461030.1| Junco hyemalis isolate SCJU-3826 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX461031,SCJU_3827,hyemalis,37.375136,-80.522747,75,"gi|1109546787|gb|KX461031.1| Junco hyemalis isolate SCJU-3827 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX461032,SCJU_3828,hyemalis,37.375136,-80.522747,76,"gi|1109546790|gb|KX461032.1| Junco hyemalis isolate SCJU-3828 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX461033,SCJU_3829,hyemalis,37.375136,-80.522747,77,"gi|1109546793|gb|KX461033.1| Junco hyemalis isolate SCJU-3829 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
KX461034,SCJU_3830,hyemalis,37.375136,-80.522747,78,"gi|1109546796|gb|KX461034.1| Junco hyemalis isolate SCJU-3830 ATPase subunit 8 (ATP8) gene, complete cds; and ATPase subunit 6 (ATP6) gene, partial cds; mitochondrial"
