Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names
KX461660,04N5027,oreganus,53.45359,-130.149871,11,"gi|1109547839|gb|KX461660.1| Junco hyemalis isolate 04N5027 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461661,04N5029,oreganus,53.45359,-130.14987,12,"gi|1109547841|gb|KX461661.1| Junco hyemalis isolate 04N5029 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461662,04N5030,oreganus,53.45359,-130.149869,13,"gi|1109547843|gb|KX461662.1| Junco hyemalis isolate 04N5030 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461663,04N5031,oreganus,53.45359,-130.149868,14,"gi|1109547845|gb|KX461663.1| Junco hyemalis isolate 04N5031 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461664,04N5035,oreganus,53.45359,-130.149867,15,"gi|1109547847|gb|KX461664.1| Junco hyemalis isolate 04N5035 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461665,04N5043,oreganus,53.993429,-130.487529,16,"gi|1109547849|gb|KX461665.1| Junco hyemalis isolate 04N5043 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461666,04N5044,oreganus,53.993429,-130.487528,17,"gi|1109547851|gb|KX461666.1| Junco hyemalis isolate 04N5044 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461667,04N5045,oreganus,53.993429,-130.487527,18,"gi|1109547853|gb|KX461667.1| Junco hyemalis isolate 04N5045 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461668,04N5050,oreganus,53.993429,-130.487526,19,"gi|1109547855|gb|KX461668.1| Junco hyemalis isolate 04N5050 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461669,04N5051,oreganus,53.993429,-130.487525,20,"gi|1109547857|gb|KX461669.1| Junco hyemalis isolate 04N5051 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461670,04N5052,oreganus,53.993429,-130.487524,21,"gi|1109547859|gb|KX461670.1| Junco hyemalis isolate 04N5052 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461671,04N5054,oreganus,53.993429,-130.487523,22,"gi|1109547861|gb|KX461671.1| Junco hyemalis isolate 04N5054 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461672,04N5055,oreganus,53.993429,-130.487522,23,"gi|1109547863|gb|KX461672.1| Junco hyemalis isolate 04N5055 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461673,04N5056,oreganus,53.993429,-130.487521,24,"gi|1109547865|gb|KX461673.1| Junco hyemalis isolate 04N5056 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461674,05N0500,mearnsi,43.981768,-109.514936,25,"gi|1109547867|gb|KX461674.1| Junco hyemalis isolate 05N0500 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461675,05N0501,mearnsi,43.981768,-109.514935,26,"gi|1109547869|gb|KX461675.1| Junco hyemalis isolate 05N0501 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461676,05N0502,mearnsi,43.981768,-109.514934,27,"gi|1109547871|gb|KX461676.1| Junco hyemalis isolate 05N0502 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461677,05N0503,mearnsi,43.981768,-109.514933,28,"gi|1109547873|gb|KX461677.1| Junco hyemalis isolate 05N0503 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461678,05N0504,mearnsi,43.981768,-109.514932,29,"gi|1109547875|gb|KX461678.1| Junco hyemalis isolate 05N0504 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461679,05N0506,mearnsi,43.981768,-109.514931,30,"gi|1109547877|gb|KX461679.1| Junco hyemalis isolate 05N0506 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461680,05N0507,mearnsi,43.981768,-109.51493,31,"gi|1109547879|gb|KX461680.1| Junco hyemalis isolate 05N0507 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461681,05N0509,mearnsi,43.981768,-109.514929,32,"gi|1109547881|gb|KX461681.1| Junco hyemalis isolate 05N0509 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461682,05N0522,aikeni,44.48614,-104.45108,33,"gi|1109547883|gb|KX461682.1| Junco hyemalis isolate 05N0522 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461683,05N0523,aikeni,44.48614,-104.45108,34,"gi|1109547885|gb|KX461683.1| Junco hyemalis isolate 05N0523 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461684,05N0524,aikeni,44.59476,-104.41141,35,"gi|1109547887|gb|KX461684.1| Junco hyemalis isolate 05N0524 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461685,05N0525,aikeni,44.59476,-104.41141,36,"gi|1109547889|gb|KX461685.1| Junco hyemalis isolate 05N0525 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461686,05N0526,aikeni,44.59476,-104.41141,37,"gi|1109547891|gb|KX461686.1| Junco hyemalis isolate 05N0526 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461687,05N0527,aikeni,44.50185,-104.45238,38,"gi|1109547893|gb|KX461687.1| Junco hyemalis isolate 05N0527 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461688,05N0528,aikeni,44.50185,-104.45238,39,"gi|1109547895|gb|KX461688.1| Junco hyemalis isolate 05N0528 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461689,05N0529,aikeni,44.50185,-104.45238,40,"gi|1109547897|gb|KX461689.1| Junco hyemalis isolate 05N0529 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461690,05N0538,caniceps,40.8046,-110.87705,41,"gi|1109547899|gb|KX461690.1| Junco hyemalis isolate 05N0538 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461691,05N0539,caniceps,40.8046,-110.87705,42,"gi|1109547901|gb|KX461691.1| Junco hyemalis isolate 05N0539 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461692,05N0541,caniceps,40.8046,-110.87705,43,"gi|1109547903|gb|KX461692.1| Junco hyemalis isolate 05N0541 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461693,05N0542,caniceps,40.8046,-110.87705,44,"gi|1109547905|gb|KX461693.1| Junco hyemalis isolate 05N0542 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461694,05N0543,caniceps,40.8046,-110.87705,45,"gi|1109547907|gb|KX461694.1| Junco hyemalis isolate 05N0543 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461695,05N0544,caniceps,40.8046,-110.87705,46,"gi|1109547909|gb|KX461695.1| Junco hyemalis isolate 05N0544 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461696,05N0545,caniceps,40.8046,-110.87705,47,"gi|1109547911|gb|KX461696.1| Junco hyemalis isolate 05N0545 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461697,05N0546,caniceps,40.8046,-110.87705,48,"gi|1109547913|gb|KX461697.1| Junco hyemalis isolate 05N0546 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461698,05N0547,caniceps,40.8046,-110.87705,49,"gi|1109547915|gb|KX461698.1| Junco hyemalis isolate 05N0547 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461699,05N0571,dorsalis,34.01638,-109.6199,50,"gi|1109547917|gb|KX461699.1| Junco hyemalis isolate 05N0571 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461700,05N0572,dorsalis,34.01638,-109.6199,51,"gi|1109547919|gb|KX461700.1| Junco hyemalis isolate 05N0572 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461701,05N0573,dorsalis,34.01638,-109.6199,52,"gi|1109547921|gb|KX461701.1| Junco hyemalis isolate 05N0573 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461702,05N0574,dorsalis,34.01638,-109.6199,53,"gi|1109547923|gb|KX461702.1| Junco hyemalis isolate 05N0574 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461703,05N0575,dorsalis,34.01638,-109.6199,54,"gi|1109547925|gb|KX461703.1| Junco hyemalis isolate 05N0575 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461704,05N0582,dorsalis,33.92689,-109.45343,55,"gi|1109547927|gb|KX461704.1| Junco hyemalis isolate 05N0582 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461705,05N0583,dorsalis,33.92689,-109.45343,56,"gi|1109547929|gb|KX461705.1| Junco hyemalis isolate 05N0583 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461706,05N0584,dorsalis,33.92689,-109.45343,57,"gi|1109547931|gb|KX461706.1| Junco hyemalis isolate 05N0584 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461707,05N0585,dorsalis,33.92689,-109.45343,58,"gi|1109547933|gb|KX461707.1| Junco hyemalis isolate 05N0585 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461708,06N25589,dorsalis,33.92689,-109.45343,59,"gi|1109547935|gb|KX461708.1| Junco hyemalis isolate 06N25589 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461709,06N26275,oreganus,43.89835,-114.90118,60,"gi|1109547937|gb|KX461709.1| Junco hyemalis isolate 06N26275 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461710,06N26278,oreganus,43.89835,-114.90118,61,"gi|1109547939|gb|KX461710.1| Junco hyemalis isolate 06N26278 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461711,06N26281,oreganus,43.89835,-114.90118,62,"gi|1109547941|gb|KX461711.1| Junco hyemalis isolate 06N26281 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461712,06N26283,oreganus,43.89835,-114.90118,63,"gi|1109547943|gb|KX461712.1| Junco hyemalis isolate 06N26283 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461713,06N26284,oreganus,43.89835,-114.90118,64,"gi|1109547945|gb|KX461713.1| Junco hyemalis isolate 06N26284 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461714,06N26285,oreganus,43.89835,-114.90118,65,"gi|1109547947|gb|KX461714.1| Junco hyemalis isolate 06N26285 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461715,06N26286,oreganus,43.89835,-114.90118,66,"gi|1109547949|gb|KX461715.1| Junco hyemalis isolate 06N26286 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461716,06N26287,oreganus,43.89835,-114.90118,67,"gi|1109547951|gb|KX461716.1| Junco hyemalis isolate 06N26287 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461717,06N26290,oreganus,43.89835,-114.90118,68,"gi|1109547953|gb|KX461717.1| Junco hyemalis isolate 06N26290 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461718,06N26291,oreganus,43.89835,-114.90118,69,"gi|1109547955|gb|KX461718.1| Junco hyemalis isolate 06N26291 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461719,06N26292,oreganus,43.89835,-114.90118,70,"gi|1109547957|gb|KX461719.1| Junco hyemalis isolate 06N26292 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461720,06N26293,oreganus,43.89835,-114.90118,71,"gi|1109547959|gb|KX461720.1| Junco hyemalis isolate 06N26293 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461775,SCJU_3824,hyemalis,37.375136,-80.522752,72,"gi|1109548069|gb|KX461775.1| Junco hyemalis isolate SCJU-3824 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461776,SCJU_3826,hyemalis,37.375136,-80.522751,73,"gi|1109548071|gb|KX461776.1| Junco hyemalis isolate SCJU-3826 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461777,SCJU_3827,hyemalis,37.375136,-80.52275,74,"gi|1109548073|gb|KX461777.1| Junco hyemalis isolate SCJU-3827 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461778,SCJU_3828,hyemalis,37.375136,-80.522749,75,"gi|1109548075|gb|KX461778.1| Junco hyemalis isolate SCJU-3828 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461779,SCJU_3829,hyemalis,37.375136,-80.522748,76,"gi|1109548077|gb|KX461779.1| Junco hyemalis isolate SCJU-3829 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
KX461780,SCJU_3830,hyemalis,37.375136,-80.522747,77,"gi|1109548079|gb|KX461780.1| Junco hyemalis isolate SCJU-3830 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial"
